channel_name,subscribers,category,views_counts,video_count,started_year,rank
"
Its rahil Khan 05
    ","7,400,000",Film & Animation,"1,682,676,203",750,2018,747
"
SWAPNA TV
    ","2,930,000",,"1,674,684,404",349,2018,748
"
Velujazz official
    ","2,720,000",People & Blogs,"1,666,600,099",371,2012,749
"
Wonder Of Stories
    ","4,050,000",,"1,665,602,525",340,2019,750
"
Saregama Karaoke
    ","4,610,000",Music,"1,650,406,153","3,434",2008,751
"
Sijosh N Riya
    ","1,650,000",Entertainment,"1,649,330,507",283,2019,752
"
Hombale Films
    ","4,520,000",Entertainment,"1,648,582,866",793,2013,753
"
Sona Singh
    ","4,430,000",People & Blogs,"1,647,961,713",654,2022,754
"
Tips Punjabi
    ","3,450,000",Music,"1,646,883,281",893,2015,755
"
BiscootTV
    ","2,990,000",Entertainment,"1,646,274,184","32,751",2013,756
"
Karikku
    ","9,100,000",Comedy,"1,644,661,032",158,2016,757
"
Jeet Patil
    ","7,290,000",People & Blogs,"1,641,782,921",396,2021,758
"
Swad official
    ","2,250,000",People & Blogs,"1,640,680,293","1,547",2018,759
"
Next9TvNews à¤¸à¥à¤°à¤¿à¤¯à¤² à¤à¤ªà¤¡à¥à¤
    ","2,800,000",Entertainment,"1,635,484,976","113,498",2017,760
"
Royal Music Factory
    ","3,580,000",Music,"1,632,680,790","1,541",2018,761
"
Thugesh Shorts
    ","3,170,000",Entertainment,"1,630,696,845",383,2021,762
"
Harish hatricks
    ","2,970,000",People & Blogs,"1,621,935,012",534,2015,763
"
One Media Entertainments
    ","2,570,000",Entertainment,"1,621,686,365",911,2017,764
"
Filmi Indian
    ","3,980,000",Entertainment,"1,621,613,359","1,351",2018,765
"
Masala Kitchen
    ","6,790,000",Howto & Style,"1,618,782,508","1,639",2016,766
"
Wave Music Dhamaka
    ","4,070,000",Music,"1,617,392,425","4,735",2018,767
"
Odisha Reporter
    ","1,640,000",News & Politics,"1,615,927,917","81,759",2015,768
"
mastkalandr
    ","3,490,000",People & Blogs,"1,615,775,567","1,952",2008,769
"
Tips  Jhankar Gaane
    ","4,800,000",Entertainment,"1,615,619,506",719,2013,770
"
GupShupp
    ","2,430,000",Entertainment,"1,615,106,533",437,2022,771
"
online news india
    ","5,180,000",News & Politics,"1,614,406,307","6,940",2018,772
"
RadaanMedia
    ","1,650,000",Entertainment,"1,611,490,902","11,860",2012,773
"
Zee Keralam
    ","2,330,000",Entertainment,"1,608,291,419","27,902",2018,774
"
SS Right Information World & Suraj Sharma
    ","6,900,000",,"1,604,643,758",659,2020,775
"
Mumbiker Nikhil
    ","4,060,000",People & Blogs,"1,602,892,009","2,350",2013,776
"
Rangoli colors and designs by Keerthi
    ","3,740,000",Howto & Style,"1,602,418,382","1,086",2018,777
"
Shemaroo Punjabi
    ","4,260,000",Music,"1,600,439,090","3,179",2009,778
"
Sanjay Dey
    ","1,200,000",Entertainment,"1,599,388,158","4,244",2022,779
"
Wow Kidz Bangla
    ","3,090,000",Entertainment,"1,599,035,918",674,2019,780
"
Facts Digger Official
    ","3,730,000",,"1,598,915,809",228,2021,781
"
Zee Studios
    ","3,250,000",Film & Animation,"1,598,803,982",912,2015,782
"
Zee Sarthak
    ","2,640,000",Entertainment,"1,597,131,297","29,237",2011,783
"
Vivekjadoo Deepika
    ","1,940,000",Entertainment,"1,596,338,273",991,2020,784
"
Malik Fitness Vlog
    ","3,190,000",,"1,589,584,722","2,806",2021,785
"
Suyash Fashion
    ","2,070,000",Howto & Style,"1,588,991,153",749,2016,786
"
SuperHit Gaane
    ","4,030,000",Music,"1,588,186,298","2,268",2021,787
"
CWE India
    ","4,510,000",Entertainment,"1,587,563,300","6,523",2015,788
"
GMJ - Global Music Junction - Bhojpuri
    ","5,480,000",Music,"1,586,697,455",491,2017,789
"
Veg Village Food
    ","5,780,000",Howto & Style,"1,583,547,909",488,2014,790
"
Neelkamal Singh Official
    ","4,740,000",,"1,582,802,885",133,2017,791
"
Hakson Pro Gaming
    ","8,400,000",Gaming,"1,580,031,780",990,2017,792
"
CarryisLive
    ","12,000,000",Gaming,"1,579,613,843","1,005",2017,793
"
MostlySane
    ","7,090,000",Comedy,"1,576,972,682","1,303",2015,794
"
Mahaa News
    ","1,790,000",News & Politics,"1,572,466,670","217,218",2014,795
"
THE ROTT
    ","2,890,000",Pets & Animals,"1,569,595,297",399,2019,796
"
Yippi Gaming
    ","4,800,000",Gaming,"1,568,333,869",938,2020,797
"
Chill Pannu Maapi
    ","3,530,000",Entertainment,"1,567,745,471",759,2020,798
"
King
    ","6,260,000",Music,"1,566,759,821",139,2012,799
"
Satyajeet Jena Official
    ","9,270,000",Music,"1,561,916,346",153,2014,800
"
Gunjan Singh Entertainment
    ","3,730,000",,"1,561,289,562",239,2018,801
"
Comedy Captain
    ","12,500,000",Comedy,"1,560,143,541","3,123",2016,802
"
Sach Talks
    ","7,620,000",,"1,559,621,034","2,297",2018,803
"
Sadhguru
    ","11,600,000",Howto & Style,"1,559,332,618","3,170",2007,804
"
Coke Studio India 
    ","5,640,000",Entertainment,"1,557,336,168",680,2011,805
"
Bharatiya Janata Party
    ","5,040,000",News & Politics,"1,556,261,329","37,535",2010,806
"
HyperXAbhyuday
    ","1,030,000",Gaming,"1,555,988,567","1,379",2020,807
"
The Quint
    ","3,750,000",Entertainment,"1,555,144,995","37,102",2014,808
"
B4U Movies
    ","6,180,000",Film & Animation,"1,549,580,749",766,2011,809
"
Boldsky
    ","5,630,000",Howto & Style,"1,543,565,191","45,821",2015,810
"
Yashi Music
    ","5,060,000",Music,"1,538,196,034","3,307",2017,811
"
Classic Mini Food
    ","2,460,000",Howto & Style,"1,537,355,405",851,2020,812
"
Facts Dastan
    ","4,330,000",,"1,535,233,265",524,2021,813
"
ROCK INDIAN GAMER
    ","2,590,000",,"1,534,893,280","1,967",2018,814
"
Ultra Marathi
    ","3,600,000",Entertainment,"1,533,623,118","8,474",2009,815
"
SR Brothers
    ","6,030,000",Entertainment,"1,532,831,713",55,2018,816
"
Oolfat
    ","2,250,000",Comedy,"1,532,265,951",238,2013,817
"
Riddhi thalassemia major girl
    ","3,910,000",Entertainment,"1,530,270,894",602,2017,818
"
DIL Music
    ","4,400,000",Music,"1,529,277,788",79,2011,819
"
Sri Ganesh Videos
    ","3,120,000",Entertainment,"1,527,457,296","1,633",2013,820
"
AR Entertainments Movies
    ","2,780,000",Entertainment,"1,523,952,821","5,520",2014,821
"
ANI News
    ","3,750,000",News & Politics,"1,521,476,588","133,516",2015,822
"
Ganesh Videos
    ","3,770,000",Film & Animation,"1,521,329,932","10,637",2014,823
"
Majedar Kahaniya
    ","5,390,000",Entertainment,"1,519,309,218",283,2017,824
"
Ajay Chauhan
    ","3,570,000",Entertainment,"1,518,526,038",515,2015,825
"
YesSmartyPie
    ","5,780,000",Gaming,"1,516,007,316",886,2018,826
"
Kahani Har Ghar Ki
    ","3,210,000",,"1,514,386,703","1,577",2018,827
"
MadhurasRecipe Marathi
    ","7,210,000",Howto & Style,"1,512,615,109","1,544",2016,828
"
Mr & Mrs Choudhary
    ","4,730,000",People & Blogs,"1,512,545,784","1,202",2013,829
"
Hindustan Gamer
    ","4,030,000",Gaming,"1,510,595,197",734,2015,830
"
SEPL VIDEO
    ","4,730,000",Film & Animation,"1,509,063,624","11,751",2012,831
"
The Viral Fever
    ","12,000,000",Entertainment,"1,508,961,924",532,2011,832
"
Rkholic teena
    ","3,830,000",People & Blogs,"1,508,248,596",381,2022,833
"
Lehren Retro
    ","3,220,000",Entertainment,"1,504,551,355","5,515",2011,834
"
Mani Meraj Vines
    ","8,200,000",,"1,503,132,724",51,2018,835
"
Shemaroo Kannada
    ","3,950,000",Entertainment,"1,502,039,141","5,335",2011,836
"
Onespot Gaming
    ","3,470,000",Gaming,"1,498,850,533","2,307",2016,837
"
Hairstyle Tutorial
    ","1,330,000",Education,"1,496,838,431","1,541",2020,838
"
API Tamil Songs
    ","2,280,000",Entertainment,"1,495,277,581","1,802",2012,839
"
Resty kamboj
    ","1,590,000",Entertainment,"1,494,035,330",821,2014,840
"
Galatta Pink
    ","1,730,000",Entertainment,"1,492,295,838","20,614",2021,841
"
IMR Films
    ","3,340,000",Entertainment,"1,490,736,961","1,370",2014,842
"
Sarkari Foodie
    ","1,480,000",People & Blogs,"1,489,697,214",393,2022,843
"
Vismai Food
    ","3,820,000",Howto & Style,"1,488,225,410","1,602",2016,844
"
Danish5star
    ","2,980,000",People & Blogs,"1,485,932,161",708,2019,845
"
News18 Odia
    ","2,570,000",News & Politics,"1,482,974,727","191,346",2015,846
"
Kannada Super Scenes
    ","2,580,000",People & Blogs,"1,482,860,887","7,886",2015,847
"
Filmy Crazy
    ","3,470,000",Entertainment,"1,482,112,796","5,304",2018,848
"
ALBUM CREATIONS
    ","3,070,000",Entertainment,"1,482,037,105",572,2017,849
"
Sanjeev Kapoor Khazana 
    ","7,370,000",Howto & Style,"1,479,945,295","14,193",2009,850
"
Pebbles live
    ","4,800,000",Education,"1,479,108,923","5,270",2013,851
"
BR Bhai
    ","3,500,000",Entertainment,"1,476,837,052","1,156",2016,852
"
Spice ASMR
    ","3,760,000",Entertainment,"1,473,570,304",449,2017,853
"
shravani's kitchen
    ","4,070,000",Howto & Style,"1,472,486,354","1,410",2016,854
"
Naveen Ricky
    ","2,210,000",People & Blogs,"1,468,172,964",733,2020,855
"
UnGraduate Gamer
    ","8,100,000",Gaming,"1,464,234,625","2,006",2018,856
"
Dear Sir
    ","16,600,000",Education,"1,463,952,733",681,2016,857
"
satyamvideos
    ","1,990,000",Music,"1,462,031,707","1,851",2013,858
"
SGV Digital - Kannada Full Movies
    ","3,900,000",Entertainment,"1,461,406,764","1,601",2015,859
"
DRJ Records Movies 
    ","9,620,000",Film & Animation,"1,459,746,705","1,054",2015,860
"
chatpat toy tv
    ","5,660,000",,"1,458,468,151","1,439",2019,861
"
Jagriti Vishali Shorts
    ","2,010,000",Entertainment,"1,457,834,412",572,2020,862
"
Sidharth Music
    ","3,440,000",Entertainment,"1,449,364,176","2,217",2016,863
"
MX Player
    ","3,730,000",Entertainment,"1,447,757,397",919,2011,864
"
Flyingmeenaboi
    ","4,220,000",,"1,447,208,446",298,2013,865
"
HooplaKidz TV - Funny Cartoons For Kids
    ","3,800,000",Education,"1,441,226,548","1,128",2012,866
"
DRJ Records Zest
    ","8,680,000",Entertainment,"1,436,308,060",816,2017,867
"
Prasadtechintelugu
    ","4,260,000",Science & Technology,"1,434,698,025","4,093",2015,868
"
Pocket Films
    ","3,760,000",Film & Animation,"1,431,015,190","2,529",2009,869
"
Maahi Queen
    ","4,490,000",Entertainment,"1,429,914,147",199,2016,870
"
Shree Jee - Bhakti
    ","6,530,000",Music,"1,429,382,567","2,700",2016,871
"
Zee Bihar Jharkhand
    ","4,280,000",News & Politics,"1,426,941,997","50,552",2014,872
"
Shruti Shorts
    ","2,670,000",Comedy,"1,420,835,951",471,2018,873
"
ALTT
    ","4,360,000",Entertainment,"1,418,881,015","4,761",2016,874
"
Rhythm Boyz
    ","3,110,000",Music,"1,416,944,967",203,2015,875
"
TsMadaan
    ","12,000,000",Howto & Style,"1,413,818,426","2,092",2008,876
"
India Forums
    ","3,590,000",Entertainment,"1,411,022,068","14,877",2010,877
"
Trending Theeviravadhi
    ","4,840,000",Entertainment,"1,409,554,770",344,2020,878
"
AmdavadiMan Ni Duniya
    ","2,210,000",People & Blogs,"1,408,182,731",426,2019,879
"
Official the jeet
    ","5,730,000",Entertainment,"1,404,860,212",721,2021,880
"
manoramaMAX
    ","1,880,000",Entertainment,"1,404,518,814","11,169",2019,881
"
Desi Version
    ","3,960,000",Entertainment,"1,402,659,529",650,2014,882
"
FACT FIRE KING
    ","14,300,000",,"1,401,103,784",849,2020,883
"
Badge 99
    ","10,100,000",Gaming,"1,400,926,600",736,2016,884
"
Gotcha! Hindi
    ","3,330,000",People & Blogs,"1,400,542,676",254,2021,885
"
SIIMA
    ","3,280,000",People & Blogs,"1,395,905,358","6,968",2015,886
"
Bamb Beats
    ","4,150,000",People & Blogs,"1,395,778,641",137,2017,887
"
Official Deep Kaur Shorts
    ","2,400,000",People & Blogs,"1,395,150,054","1,150",2021,888
"
Nakkalites
    ","5,200,000",Comedy,"1,392,739,109",809,2017,889
"
Sri Balaji Comedy
    ","2,670,000",Entertainment,"1,391,940,003","4,261",2013,890
"
Bollywood pe Charcha
    ","2,050,000",Entertainment,"1,391,404,256","5,544",2017,891
"
Riya Films
    ","4,100,000",,"1,390,869,833","10,442",2015,892
"
GoldminesAction
    ","12,700,000",Film & Animation,"1,390,562,776","1,140",2015,893
"
Rojgar with Ankit
    ","9,930,000",,"1,389,859,688","17,755",2017,894
"
Indian Farmer
    ","4,090,000",Howto & Style,"1,388,364,702","1,862",2018,895
"
Fukra Insaan
    ","9,080,000",People & Blogs,"1,385,170,687",284,2019,896
"
SVF Music
    ","3,320,000",Music,"1,384,535,947","2,075",2016,897
"
IKRU Entertainments
    ","2,160,000",Comedy,"1,382,895,202",744,2016,898
"
VeerParul Official
    ","3,140,000",Comedy,"1,382,633,956",788,2022,899
"
Rajshri Soul
    ","3,450,000",Music,"1,382,458,900","1,146",2009,900
"
Trakin Shorts
    ","2,560,000",People & Blogs,"1,381,342,801",777,2021,901
"
Aryan verma studios
    ","4,890,000",Howto & Style,"1,378,106,890",427,2017,902
"
Too Much Facts
    ","2,780,000",,"1,372,939,997",669,2020,903
"
Spread Love - Satheesh Shanmu
    ","1,640,000",Entertainment,"1,372,358,809",967,2020,904
"
Wings Marathi
    ","4,570,000",Entertainment,"1,371,118,701","2,278",2010,905
"
Video Palace
    ","2,680,000",Music,"1,369,526,743",924,2010,906
"
Shemaroo Telugu
    ","3,080,000",Entertainment,"1,366,307,785","12,572",2009,907
"
Nitin Narware
    ","4,640,000",Comedy,"1,365,163,599",197,2020,908
"
COMEDY SONOTEK
    ","4,410,000",People & Blogs,"1,364,745,444","1,481",2016,909
"
Sarpmitra Akash Jadhav
    ","5,340,000",Pets & Animals,"1,363,290,407",745,2017,910
"
Sachet Parampara
    ","4,890,000",Music,"1,363,222,599",389,2011,911
"
Manorama Music Songs
    ","2,570,000",Music,"1,359,100,714","3,368",2013,912
"
âRespect
    ","2,190,000",Sports,"1,358,987,562",89,2021,913
"
Tanmay Bhat
    ","4,560,000",Comedy,"1,358,614,842",956,2006,914
"
DawsenTv - Bengali Stories & Rhymes
    ","3,360,000",Film & Animation,"1,358,015,936",951,2013,915
"
Sheethal And Vinu
    ","1,820,000",Entertainment,"1,357,853,716",620,2021,916
"
Nirahua Entertainment
    ","3,140,000",Entertainment,"1,354,324,156",612,2017,917
"
Jubin Nautiyal
    ","5,970,000",Music,"1,353,234,515",175,2009,918
"
Pandit Pradeep Ji Mishra Sehore Wale
    ","5,990,000",People & Blogs,"1,350,509,663","4,918",2012,919
"
Yuki Music
    ","5,100,000",Music,"1,343,398,415","4,624",2014,920
"
Universe Adventure
    ","7,690,000",Science & Technology,"1,342,289,854",537,2016,921
"
Music Master | Tamil Songs | Ilayaraja
    ","2,450,000",Music,"1,342,065,862","3,725",2016,922
"
LOL (Life of Limbachiyaaâs)
    ","4,340,000",Entertainment,"1,341,660,800",637,2021,923
"
Jatt Life Studios
    ","2,860,000",Music,"1,338,699,517",108,2018,924
"
Mai Mohini
    ","3,000,000",Comedy,"1,338,608,604",417,2021,925
"
Bolly Kick
    ","8,810,000",Film & Animation,"1,338,544,947",923,2011,926
"
Veggie Paaji
    ","3,340,000",Entertainment,"1,337,449,444","1,437",2016,927
"
Grandpa Kitchen
    ","9,480,000",Howto & Style,"1,333,471,417",506,2017,928
"
Manish saini
    ","4,020,000",Comedy,"1,333,040,543",646,2019,929
"
Bihar Tak
    ","3,290,000",News & Politics,"1,331,356,964","30,805",2018,930
"
Khushbu Style
    ","3,130,000",Howto & Style,"1,327,343,736","1,946",2017,931
"
aha videoIN
    ","2,570,000",Entertainment,"1,327,266,906","4,488",2020,932
"
Shabad Gurbani
    ","3,460,000",Music,"1,318,845,846","11,446",2011,933
"
Nova Spiritual India
    ","4,590,000",Music,"1,317,871,541",753,2015,934
"
Elvish yadav
    ","14,600,000",Comedy,"1,316,200,511",185,2016,935
"
Behindwoods Hits
    ","1,370,000",Film & Animation,"1,312,734,485","25,091",2022,936
"
CRUX
    ","2,220,000",News & Politics,"1,312,255,005","14,454",2016,937
"
Ramsivasa Tamil
    ","1,540,000",Howto & Style,"1,311,212,877","2,149",2018,938
"
Fever FM
    ","2,180,000",Entertainment,"1,309,736,617","7,403",2013,939
"
Josh -  Hindi Stories Comedy Videos
    ","4,000,000",Entertainment,"1,308,571,386",287,2019,940
"
Meditative Mind
    ","5,430,000",Music,"1,307,139,070","1,660",2009,941
"
Best In Bollywood
    ","3,330,000",Entertainment,"1,306,842,730",829,2011,942
"
DisneyPlus Hotstar_IN
    ","1,660,000",Entertainment,"1,306,118,879",463,2019,943
"
sansCARi sumit
    ","1,140,000",Autos & Vehicles,"1,304,345,426","2,338",2010,944
"
Son And Dad
    ","3,110,000",People & Blogs,"1,301,849,266",430,2022,945
"
Team Kunjippuzhu by Nikhil & Lena
    ","1,580,000",Comedy,"1,300,843,342",723,2019,946
"
Swara Singh
    ","4,360,000",People & Blogs,"1,298,665,379",308,2020,947
"
Hassjack
    ","3,870,000",Comedy,"1,296,857,673",363,2017,948
"
Indonesian Fairy Tales
    ","3,990,000",Film & Animation,"1,290,182,508",644,2016,949
"
T-Series Islamic Music
    ","4,510,000",Entertainment,"1,289,413,634","4,810",2014,950
"
Action Tadka India
    ","4,320,000",Film & Animation,"1,289,371,996","1,596",2014,951
"
Vikasverma 
    ","2,110,000",Comedy,"1,284,385,695",981,2017,952
"
MortaL
    ","7,000,000",Gaming,"1,279,963,325","1,921",2013,953
"
Adda247 
    ","7,650,000",Education,"1,279,757,417","43,486",2016,954
"
Mayur Thakur
    ","5,650,000",People & Blogs,"1,279,493,624",326,2021,955
"
Akshara Singh
    ","4,070,000",Music,"1,278,140,327",185,2017,956
"
Rachitroo
    ","5,910,000",Gaming,"1,275,721,329",649,2015,957
"
ATIF FC
    ","3,510,000",Entertainment,"1,274,474,034",366,2019,958
"
Village Food Channel
    ","7,500,000",People & Blogs,"1,274,144,892",413,2018,959
"
Drishti IAS
    ","10,900,000",People & Blogs,"1,273,431,501","12,709",2017,960
"
Arbaaz Shaikh
    ","4,490,000",People & Blogs,"1,273,104,996",685,2022,961
"
Khushi - Hindi Stories Super Comedy Videos
    ","3,990,000",Entertainment,"1,272,984,585",315,2019,962
"
Chintu Toons
    ","2,510,000",Entertainment,"1,272,331,273",98,2019,963
"
Peekaboo Kidz
    ","4,060,000",Education,"1,271,315,928",747,2014,964
"
Assassins ARMY
    ","10,200,000",Gaming,"1,270,836,597","1,006",2019,965
"
Rehaan Roy
    ","3,090,000",People & Blogs,"1,270,030,708",366,2011,966
"
Ultra Action Hits
    ","6,460,000",Entertainment,"1,269,295,027","1,047",2016,967
"
Sonotek Haryanvi
    ","10,000,000",Music,"1,269,041,173","3,649",2015,968
"
Dancefit Live
    ","6,080,000",Entertainment,"1,267,214,308",264,2016,969
"
NTM Cinemas
    ","4,400,000",Film & Animation,"1,264,623,648","3,083",2016,970
"
Mango Videos
    ","3,140,000",Entertainment,"1,264,562,271","9,226",2008,971
"
Laksh Dadwani
    ","1,370,000",People & Blogs,"1,264,306,803",951,2020,972
"
News18 Lokmat
    ","2,660,000",News & Politics,"1,263,672,447","143,057",2011,973
"
arunj224
    ","1,890,000",Entertainment,"1,260,905,151",400,2013,974
"
Chu Chu Ke Funs
    ","3,890,000",Entertainment,"1,259,846,831",927,2016,975
"
rajuindori
    ","1,880,000",Comedy,"1,258,741,617",958,2016,976
"
Tips Theatre
    ","4,360,000",Education,"1,256,189,249","3,414",2018,977
"
Samreen Ali
    ","4,420,000",Comedy,"1,255,987,287",650,2016,978
"
Home entertainment and vlog
    ","1,870,000",People & Blogs,"1,255,430,081","1,796",2013,979
"
Play DMF
    ","3,950,000",Entertainment,"1,255,239,333",236,2018,980
"
Ruptara Vlogs
    ","1,860,000",People & Blogs,"1,254,447,396","7,885",2021,981
"
Delicious Food
    ","4,190,000",Howto & Style,"1,251,785,941","1,588",2019,982
"
Missjasleenarora
    ","2,270,000",People & Blogs,"1,249,738,000",351,2020,983
"
 FS star News
    ","2,440,000",Entertainment,"1,248,347,493","8,839",2017,984
"
Telugu Foodie
    ","1,300,000",Entertainment,"1,248,122,068",893,2022,985
"
wifistudy 2.0 by Unacademy
    ","5,800,000",People & Blogs,"1,246,188,006","19,686",2017,986
"
TellyTalkIndia
    ","2,160,000",News & Politics,"1,243,556,006","38,032",2013,987
"
Hitz Music
    ","4,300,000",Music,"1,243,385,329",735,2017,988
"
Gaane Filmi
    ","2,810,000",Music,"1,242,914,642",410,2021,989
"
TFPC
    ","1,790,000",Entertainment,"1,240,991,377","30,152",2014,990
"
Elvish Yadav Vlogs
    ","7,600,000",People & Blogs,"1,240,189,491",738,2019,991
"
Shri Devkinandan Thakur Ji 
    ","4,790,000",People & Blogs,"1,240,011,647","8,385",2014,992
"
Dynamo Gaming
    ","9,970,000",People & Blogs,"1,239,287,533","2,251",2010,993
"
Cineulagam
    ","2,820,000",Entertainment,"1,239,181,706","25,380",2011,994
"
LoveSHEET
    ","4,760,000",Music,"1,238,736,243",115,2017,995
"
Tech Boss
    ","4,240,000",Science & Technology,"1,235,011,326","1,596",2018,996
"
Vijay shorts
    ","1,800,000",People & Blogs,"1,233,741,927","1,243",2019,997
"
Saga Music Haryanvi
    ","2,980,000",Music,"1,233,081,954","1,846",2010,998
"
Nandighosha TV
    ","2,540,000",News & Politics,"1,232,703,220","136,076",2016,999
"
Lalitha Audios And Videos
    ","2,850,000",Music,"1,232,238,431","1,465",2012,1000
